Species,Longitude,Latitude
colliei,-107.9927,25.3646
colliei,-106.1361,23.2554
colliei,-108.8083,26.305
colliei,-107.785,25.4533
colliei,-108.39,26.6533
colliei,-105.4216,20.2594
colliei,-107.6167,27.45
colliei,-104.646,21.2566
colliei,-105.137,21.178
colliei,-104.895,21.1
colliei,-105.3667,22.3967
colliei,-106.66,23.83
colliei,-107.363,25.108
colliei,-106.8,24.3167
colliei,-107.36,24.45
colliei,-106.9,23.9133
colliei,-109.055,25.6083
colliei,-106.4267,23.9367
colliei,-108.2283,27
colliei,-108.595,26.4233
colliei,-106.18,23.615
colliei,-105.8967,23.3
colliei,-107.3133,24.6283
colliei,-104.9033,21.31
colliei,-106.4171,24.9228
colliei,-106.25,23.4167
colliei,-109.1916,28.4291
colliei,-108.9526,28.3719
colliei,-103.974,21.1287
colliei,-104.4594,21.4379
colliei,-107.651,24.4159
colliei,-105.2597,21.5413
colliei,-107.8256,27.5346
colliei,-108.7055,27.1027
colliei,-106.4405,23.2991
colliei,-105.0584,20.5091
colliei,-103.958,19.7311
colliei,-103.3103,20.7415
colliei,-108.9966,26.4958
colliei,-105.5004,20.7789
colliei,-106.2888,23.1423
colliei,-104.9881,21.4828
colliei,-104.12,20.9965
colliei,-105.5692,22.5914
colliei,-104.1346,19.805
colliei,-107.9131,27.2641
colliei,-105.1175,20.7799
colliei,-105.3548,22.8822
colliei,-103.9154,20.9342
colliei,-107.2168,24.8533
colliei,-106.7419,23.6291
colliei,-105.8541,23.0208
colliei,-105.3864,20.9371
colliei,-103.779,19.4545
colliei,-103.887,20.7457
colliei,-104.443,20.8692
colliei,-104.8453,20.5857
colliei,-105.2128,23.0592
colliei,-106.6105,24.3965
colliei,-108.0722,25.841
colliei,-106.6603,24.0847
colliei,-108.7018,26.9173
colliei,-109.6346,28.763
colliei,-104.4333,19.7719
colliei,-104.5535,21.7077
colliei,-103.4361,21.0453
colliei,-105.1563,21.8643
colliei,-105.0523,21.6859
colliei,-108.7623,26.5914
colliei,-109.3975,27.1621
colliei,-109.3095,27.7316
colliei,-103.7058,21.8555
colliei,-106.3817,23.6355
colliei,-104.1075,20.7512
colliei,-103.9813,20.5789
colliei,-105.9285,22.7812
colliei,-109.0045,25.7901
colliei,-105.2878,23.2406
colliei,-108.318,26.0613
colliei,-104.0856,20.2542
colliei,-109.0137,27.0336
colliei,-106.2836,23.8116
colliei,-106.5458,23.5054
colliei,-109.2451,27.5252
colliei,-105.4342,20.4834
colliei,-105.6808,22.7678
colliei,-104.4206,21.2473
colliei,-103.55,19.405
colliei,-108.895,26.8533
