Species,Longitude,Latitude
pmorio,-98.57,22.1183
pmorio,-99.5133,21.44
pmorio,-98.7267,21.255
pmorio,-98.9451,21.8994
pmorio,-99.0117,21.6967
pmorio,-98.3783,22.2117
pmorio,-99.0333,23.95
pmorio,-99.6833,24.9
pmorio,-99.8571,24.6925
pmorio,-97.885,20.3617
pmorio,-97.5033,25.8683
pmorio,-98.4833,24.6667
pmorio,-98.49,24.3983
pmorio,-97.6833,21.2333
pmorio,-98.9322,21.3866
pmorio,-97.4031,21.3978
pmorio,-99.3153,22.7022
pmorio,-97.2169,19.9672
pmorio,-97.6437,20.5898
pmorio,-97.6667,21.625
pmorio,-97.8948,21.7087
pmorio,-97.3203,20.3089
pmorio,-98,22.2167
pmorio,-98.35,21.5
pmorio,-99.192,22.3505
pmorio,-97.7388,21.8552
pmorio,-97.871,20.754
pmorio,-99.1414,23.1162
pmorio,-99.1094,21.1639
pmorio,-99.15,26.5333
pmorio,-99.4278,22.1258
pmorio,-98.8706,21.0772
pmorio,-99.2982,21.6761
pmorio,-97.8693,23.7922
pmorio,-99.0372,22.6629
pmorio,-100.2338,25.4511
pmorio,-100.0678,25.2265
pmorio,-97.5243,20.024
pmorio,-98.9525,22.2728
pmorio,-98.9683,22.0917
pmorio,-99.4833,24.4667
pmorio,-97.68,20.1667
pmorio,-97.4667,20.7833
pmorio,-99.0167,23.3167
pmorio,-98.4533,23.27
pmorio,-90.47,19.2983
pmorio,-88.5667,20.765
pmorio,-89.422,20.085
pmorio,-89.6984,21.2789
pmorio,-89.606,20.031
pmorio,-89.095,20.031
pmorio,-90.5316,19.6234
pmorio,-88.503,19.851
pmorio,-88.844,19.92
pmorio,-88.812,20.557
pmorio,-89.25,19.863
pmorio,-88.633,20.152
pmorio,-87.0758,20.8709
pmorio,-87.485,21.0983
pmorio,-88.45,19.6667
pmorio,-87.6167,21.2833
pmorio,-90.7167,19.3333
pmorio,-88.9383,21.1483
pmorio,-88.25,19.7167
pmorio,-88.0517,20.6867
pmorio,-88.7017,19.7867
pmorio,-88.1584,21.1406
pmorio,-87.7315,20.491
pmorio,-87.4664,20.2081
pmorio,-87.5806,19.8181
pmorio,-89.6831,19.3253
pmorio,-88.5,21.317
pmorio,-90.3793,19.9255
pmorio,-90.2317,19.5975
pmorio,-89.6817,19.5139
pmorio,-90.6328,19.7878
pmorio,-90.1169,18.9697
pmorio,-89.3364,19.3489
pmorio,-89.67,15.4
pmorio,-88.7639,16.1634
pmorio,-91.3092,16.1926
pmorio,-89.1,16.283
pmorio,-88.5937,16.3764
pmorio,-95.0417,16.7933
pmorio,-93.4483,16.8556
pmorio,-93.1828,16.8778
pmorio,-92.0756,16.8967
pmorio,-90.9645,16.899
pmorio,-88.9832,16.9663
pmorio,-93.7728,16.9842
pmorio,-89.6715,16.9903
pmorio,-93.3575,17.0697
pmorio,-94.145,17.0733
pmorio,-94.6008,17.0756
pmorio,-89.1059,17.1024
pmorio,-93.1792,17.1278
pmorio,-95.0333,17.1333
pmorio,-89.6119,17.2213
pmorio,-90.2937,17.2465
pmorio,-93,17.3667
pmorio,-94.9169,17.3674
pmorio,-90.433,17.4
pmorio,-91.9806,17.5092
pmorio,-92.9567,17.545
pmorio,-93.1819,17.5867
pmorio,-88.7001,17.5911
pmorio,-93.4067,17.7133
pmorio,-88.4092,17.75
pmorio,-94.75,17.75
pmorio,-96.3117,17.76
pmorio,-89.0114,17.777
pmorio,-91.5283,17.8017
pmorio,-96.0401,17.8451
pmorio,-95.163,17.865
pmorio,-93.3633,17.895
pmorio,-88.885,17.9567
pmorio,-94.7183,17.9633
pmorio,-94.4937,17.9635
pmorio,-95.8052,18.0587
pmorio,-89.3403,18.0626
pmorio,-92.4316,18.066
pmorio,-95.6167,18.1
pmorio,-89.8106,18.1044
pmorio,-89.1333,18.1167
pmorio,-95.15,18.15
pmorio,-96.8467,18.17
pmorio,-94.893,18.216
pmorio,-96.4083,18.2583
pmorio,-90.1333,18.3167
pmorio,-95.125,18.355
pmorio,-89.3072,18.4375
pmorio,-89.8909,18.4633
pmorio,-95.3,18.465
pmorio,-88.8433,18.4772
pmorio,-90.7806,18.4851
pmorio,-92.8133,18.4883
pmorio,-88.2833,18.5
pmorio,-91.1333,18.55
pmorio,-95.0369,18.5574
pmorio,-90.4855,18.573
pmorio,-95.45,18.5833
pmorio,-90.2587,18.5878
pmorio,-89.4268,18.5938
pmorio,-91.9673,18.6164
pmorio,-91.7067,18.6317
pmorio,-92.5113,18.6369
pmorio,-88.4,18.6667
pmorio,-95.6336,18.7007
pmorio,-90.9694,18.7042
pmorio,-90.656,18.7563
pmorio,-89.2089,18.8222
pmorio,-96.9167,18.8334
pmorio,-95.9333,18.8833
pmorio,-96.1889,18.9123
pmorio,-88.4,19.0333
pmorio,-96.9605,19.1807
pmorio,-96.1333,19.2
pmorio,-96.658,19.2011
pmorio,-96.3797,19.2368
pmorio,-87.9597,19.2825
pmorio,-96.9667,19.4167
pmorio,-88.05,19.6
pmorio,-87.75,19.6667
pmorio,-96.47,19.77
pmorio,-96.7667,18.6833
pmorio,-96.9167,19.6
pmorio,-96.6833,18.3833
