"species","decimalLongitude","decimalLatitude","year"
"1","Cardinalis cardinalis",-77.005003,38.971808,2024
"2","Cardinalis cardinalis",-77.408753,38.889605,2024
"3","Cardinalis cardinalis",-79.965412,38.933742,2024
"4","Cardinalis cardinalis",-79.965299,38.933632,2024
"5","Cardinalis cardinalis",-79.094742,36.080564,2024
"6","Cardinalis cardinalis",-82.658549,28.132203,2024
"7","Cardinalis cardinalis",-73.934587,45.47035,2024
"8","Cardinalis cardinalis",-69.949402,47.394783,2024
"9","Cardinalis cardinalis",-69.949402,47.394783,2024
"10","Cardinalis cardinalis",-84.167685,39.620054,2024
"11","Cardinalis cardinalis",-84.51202,39.103025,2024
"12","Cardinalis cardinalis",-77.048837,38.930142,2024
"13","Cardinalis cardinalis",-82.331082,28.609222,2024
"14","Cardinalis cardinalis",-80.572197,43.598903,2024
"15","Cardinalis cardinalis",-80.645977,35.364978,2024
"16","Cardinalis cardinalis",-96.507724,33.256091,2024
"17","Cardinalis cardinalis",-75.724101,45.334905,2024
"18","Cardinalis cardinalis",-61.991438,45.622484,2024
"19","Cardinalis cardinalis",-97.100276,32.587514,2024
"20","Cardinalis cardinalis",-73.5621,45.459149,2024
"21","Cardinalis cardinalis",-99.490055,36.472599,2024
"22","Cardinalis cardinalis",-71.496875,42.752961,2024
"23","Cardinalis cardinalis",-80.013849,44.514828,2024
"24","Cardinalis cardinalis",-88.202112,42.392403,2024
"25","Cardinalis cardinalis",-88.202112,42.392403,2024
"26","Cardinalis cardinalis",-79.434756,40.310121,2024
"27","Cardinalis cardinalis",-82.813658,29.6169,2024
"28","Cardinalis cardinalis",-71.114674,41.831534,2024
"29","Cardinalis cardinalis",-81.320922,42.927838,2024
"30","Cardinalis cardinalis",-81.320058,42.927798,2024
"31","Cardinalis cardinalis",-82.133554,38.440475,2024
"32","Cardinalis cardinalis",-82.331951,28.615114,2024
"33","Cardinalis cardinalis",-75.703082,39.78914,2024
"34","Cardinalis cardinalis",-74.850067,45.032852,2024
"35","Cardinalis cardinalis",-76.922087,38.987649,2024
"36","Cardinalis cardinalis",-88.202112,42.392403,2024
"37","Cardinalis cardinalis",-70.090997,41.761386,2024
"38","Cardinalis cardinalis",-73.971367,40.656502,2024
"39","Cardinalis cardinalis",-84.51202,39.103025,2024
"40","Cardinalis cardinalis",-80.424153,37.216777,2024
"41","Cardinalis cardinalis",-93.232133,44.930489,2024
"42","Cardinalis cardinalis",-93.232133,44.930489,2024
"43","Cardinalis cardinalis",-63.477415,44.665307,2024
"44","Cardinalis cardinalis",-84.167726,39.620043,2024
"45","Cardinalis cardinalis",-87.733394,42.083116,2024
"46","Cardinalis cardinalis",-79.365983,43.683877,2024
"47","Cardinalis cardinalis",-79.366027,43.683864,2024
"48","Cardinalis cardinalis",-93.215953,44.859614,2024
"49","Cardinalis cardinalis",-93.215955,44.859616,2024
"50","Cardinalis cardinalis",-75.789782,45.373234,2024
"51","Cardinalis cardinalis",-96.752786,33.738552,2024
"52","Cardinalis cardinalis",-79.261168,39.548957,2024
"53","Cardinalis cardinalis",-94.26687,36.051003,2024
"54","Cardinalis cardinalis",-80.874249,25.175704,2024
"55","Cardinalis cardinalis",-97.084952,32.993606,2024
"56","Cardinalis cardinalis",-87.621393,41.881857,2024
"57","Cardinalis cardinalis",-96.638043,32.954028,2024
"58","Cardinalis cardinalis",-71.169853,42.472112,2024
"59","Cardinalis cardinalis",-71.166153,42.471828,2024
"60","Cardinalis cardinalis",-71.166336,42.47195,2024
"61","Cardinalis cardinalis",-97.33117,27.642831,2024
"62","Cardinalis cardinalis",-79.38805,43.781392,2024
"63","Cardinalis cardinalis",-79.38805,43.781392,2024
"64","Cardinalis cardinalis",-79.192493,43.748094,2024
"65","Cardinalis cardinalis",-79.192493,43.748094,2024
"66","Cardinalis cardinalis",-79.192493,43.748094,2024
"67","Cardinalis cardinalis",-79.192493,43.748094,2024
"68","Cardinalis cardinalis",-78.698671,35.877135,2024
